Run,Sediment,Salinity [ppt],SSC [mg/l],G [s^-1],dp [micron]
1,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7
2,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7
3,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7
4,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7
5,80% kaolinite and 20% montmorillonite by mass,8.5,100,50,7
6,80% kaolinite and 20% montmorillonite by mass,8.5,100,50,7
7,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7
8,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7
9,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7
10,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7
11,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7
12,80% kaolinite and 20% montmorillonite by mass,8.5,100,50,7
13,80% kaolinite and 20% montmorillonite by mass,8.5,15,50,7
14,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7
15,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7
16,80% kaolinite and 20% montmorillonite by mass,8.5,100,50,7
17,80% kaolinite and 20% montmorillonite by mass,8.5,200,50,7
18,80% kaolinite and 20% montmorillonite by mass,8.5,300,50,7
19,80% kaolinite and 20% montmorillonite by mass,8.5,400,50,7
20,80% kaolinite and 20% montmorillonite by mass,8.5,15,50,7
21,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7
22,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7
23,80% kaolinite and 20% montmorillonite by mass,8.5,100,50,7
24,80% kaolinite and 20% montmorillonite by mass,8.5,200,50,7
25,80% kaolinite and 20% montmorillonite by mass,8.5,300,50,7
26,80% kaolinite and 20% montmorillonite by mass,8.5,400,50,7
27,80% kaolinite and 20% montmorillonite by mass,8.5,400,50,7
28,80% kaolinite and 20% montmorillonite by mass,8.5,400,50,7
29,80% kaolinite and 20% montmorillonite by mass,8.5,400,50,7
