Run,Sediment,Salinity [ppt],SSC [mg/l],G [s^-1],dp [micron],dfe [micron],Note
1,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7,151,Test Near - Far method     Near     Non            
2,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7,88,Test Near - Far method     Near     Prior
3,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7,146,Test Near - Far method     Near     Non            
4,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7,92,Test Near - Far method     Near     Prior
5,80% kaolinite and 20% montmorillonite by mass,8.5,100,50,7,126,Test Near - Far method     Near     Non            
6,80% kaolinite and 20% montmorillonite by mass,8.5,100,50,7,91,Test Near - Far method     Near     Prior
7,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7,165,Test Near - Far method     Far       Non
8,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7,82,Test Near - Far method     Far       Prior
9,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7,139,Test Near - Far method     Far       Non
10,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7,95,Test Near - Far method     Far       Prior
11,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7,127,Test Near - Far method     Far       Non
12,80% kaolinite and 20% montmorillonite by mass,8.5,100,50,7,110,Test Near - Far method     Far       Prior
13,80% kaolinite and 20% montmorillonite by mass,8.5,15,50,7,74,Non Prior Shear
14,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7,90,Non Prior Shear
15,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7,136,Non Prior Shear
16,80% kaolinite and 20% montmorillonite by mass,8.5,100,50,7,109,Non Prior Shear
17,80% kaolinite and 20% montmorillonite by mass,8.5,200,50,7,122,Non Prior Shear
18,80% kaolinite and 20% montmorillonite by mass,8.5,300,50,7,138,Non Prior Shear
19,80% kaolinite and 20% montmorillonite by mass,8.5,400,50,7,152,Non Prior Shear
20,80% kaolinite and 20% montmorillonite by mass,8.5,15,50,7,65,Prior Shear
21,80% kaolinite and 20% montmorillonite by mass,8.5,25,50,7,66,Prior Shear
22,80% kaolinite and 20% montmorillonite by mass,8.5,50,50,7,97,Prior Shear
23,80% kaolinite and 20% montmorillonite by mass,8.5,100,50,7,99,Prior Shear
24,80% kaolinite and 20% montmorillonite by mass,8.5,200,50,7,113,Prior Shear
25,80% kaolinite and 20% montmorillonite by mass,8.5,300,50,7,126,Prior Shear
26,80% kaolinite and 20% montmorillonite by mass,8.5,400,50,7,122,Prior Shear
27,80% kaolinite and 20% montmorillonite by mass,8.5,400,50,7,77,3 Tank - Concentration decay in 50  min
28,80% kaolinite and 20% montmorillonite by mass,8.5,400,50,7,77,3 Tank - Concentration decay in 100 min
29,80% kaolinite and 20% montmorillonite by mass,8.5,400,50,7,80,3 Tank - Concentration decay in 200 min
